A comienzos de la década de 1980, se trasladó a Los Ángeles, en California, donde comenzó a labrarse una reputación con sus actuaciones, tanto eléctricas como acústicas.	labrarse	"crear	construir	formar	ganarse	forjarse	construirse	hacerse	edificarse	elaborarse	crearse	forjar	ganar	establecer	consolidar	adquirir"
A lo largo de sus más de veinte años de experiencia en el medio, ha presentado todo tipo de programas, no sólo informativos, sino también divulgativos, de entrevistas, tertulias e incluso concursos.	tertulias	"conversaciones	charlas	discusiones	debates	encuentros	reuniones	sobremesas	pláticas	colloquios	tertulias"
A pesar de las pocas bajas (menos de 500 en total) y de los inconclusos resultados tácticos, Valmy fue considerada como una de las quince batallas decisivas del mundo, porque una derrota francesa hubiera propiciado la decadencia de la Revolución francesa.	propiciado	"provocado	causado	generado	impulsado	facilitado	fomentado	producido	originado	ocasionado	promovido	alentado	permitted	catalizado"
A pesar de las pocas bajas (menos de 500 en total) y de los inconclusos resultados tácticos, Valmy fue considerada como una de las quince batallas decisivas del mundo, porque una derrota francesa hubiera propiciado la decadencia de la Revolución francesa.	decadencia	"deterioro	caída	declive	debilitamiento	desplome	decaimiento	degradación	ruina	disminución	retroceso	destrucción	hundimiento"
Al igual que otros municipios cercanos a Toledo, la población se originó a partir de los caseríos que utilizaban los vecinos de la capital en las épocas de labor.	caseríos	"viviendas	casas	aldeas	hogares	ranchos	granjas	pequeños pueblos	aldeanos	casitas	chozas	moradas	fincas	pueblos	villas	chalets	casas de campo	casas rurales"
Al principio, su trabajo se centró en la fonología, pero más tarde derivó hacia un estructuralismo heredero de Ferdinand de Saussure, pero llevando sus postulados hasta sus últimas consecuencias.	postulados	"teorías	principios	supuestos	afirmaciones	proposiciones	propuestas	ideas	premisas	conceptos	argumentos	tesis	postulados"
"Alberto Oliveras (Barcelona, octubre de 1929 - París, 13 de octubre de 2010) fue un periodista español célebre por sus programas de radio, especialmente el que llevaba por título ""Ustedes son formidables"" que estaba dedicado a la recaudación de fondos para causas sociales."	célebre	"famoso	reconocido	renombrado	conocido	afamado	destacado	popular	sobresaliente	ilustre	notable	eminente	prestigioso"
"Alberto Oliveras (Barcelona, octubre de 1929 - París, 13 de octubre de 2010) fue un periodista español célebre por sus programas de radio, especialmente el que llevaba por título ""Ustedes son formidables"" que estaba dedicado a la recaudación de fondos para causas sociales."	recaudación	"recogida	obtención	colecta	recolección	acumulación	recopilación	acopio	solicitud	recaudamiento	logro	adquisición	consecución	recaudación	campaña	acumulamiento"
Allston es un vecindario (municipio) de Boston, en los Estados Unidos, ubicado en la parte occidental de la ciudad	vecindario	"barrio	comunidad	zona	distrito	sitio	poblado	sector	paraje	municipio	localidad	lugar	área"
Aparece como productor y remezclador de notables artistas en el panorama internacional como Madonna, Kylie Minogue, Missy Elliott, The Killers, Gwen Stefani, Seal, Keane, Pet Shop Boys, Take That, Scissor Sisters y Frankmusik.	remezclador	"mezclador	productor	editor	arreglista	compositor	sintetizador	modificador	combinador	reelaborador	reajustador	readaptador	manipulador	reorganizador	remixer	creador	autor"
